"","Time","PDCSAP_FLUX","GT","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State","Flux"
"trend[1110]",1326.8420101201,79.2419043910647,"3",-5.96133349021167,53.8474027052505,"3","2",98.4753145440401
"trend[1111]",1326.84339900445,50.9319792267015,"3",-5.67322958426084,53.210139026738,"3","1",78.081405004677
"trend[1112]",1326.84478788882,53.4635102134905,"3",-5.36926069402758,50.4422969610883,"3","1",63.1812953664659
"trend[1113]",1326.84617677317,45.1282286070803,"3",-5.05019652568525,46.4049384078227,"3","1",52.1890313381758
"trend[1114]",1326.84756565754,35.6629697735514,"3",-4.71697028048428,41.8420623882058,"3","1",43.9832939890268
"trend[1115]",1326.84895454188,36.0025475226584,"3",-4.37043920641155,37.2993459641388,"3","1",37.7708697850039
"trend[1116]",1326.85034342626,32.7419585016192,"3",-4.01159509988665,33.0638626965592,"3","1",32.9902612327146
"trend[1117]",1326.8517323106,15.1205800806181,"3",-3.64159276126068,29.3519308072437,"3","1",29.2436386710936
"trend[1118]",1326.85312119498,31.6243941115348,"3",-3.26134528777802,26.2234896485395,"3","1",26.2487954754503
"trend[1119]",1326.85451007932,33.5243327431486,"3",-2.87192140256248,23.488673987396,"3","1",23.8052282476841
"trend[1120]",1326.85589896369,20.7632158797394,"3",-2.47433585225817,21.0551613001138,"3","1",21.7701856030248
"trend[1121]",1326.85728784807,16.4240692294424,"3",-2.06982040980434,19.0673605342057,"3","1",20.0417567261678
"trend[1122]",1326.85867673241,3.17765391355718,"3",-1.65943424190675,17.7005799229974,"3","1",18.5469283243426
"trend[1123]",1326.86006561678,18.6362141200547,"3",-1.2443102812435,16.9900307220102,"3","1",17.2331496636502
"trend[1124]",1326.86145450116,14.1075289749571,"3",-0.825632198102987,16.7332153139205,"3","1",16.0623746748026
"trend[1125]",1326.86284338553,20.4454392265632,"3",-0.404617689846504,16.6209915710369,"3","1",15.0068523092187
"trend[1126]",1326.86423226987,32.2446262255724,"3",0.0176751450042223,16.3165667225184,"3","1",14.0461516129178
"trend[1127]",1326.86562115425,22.6651688401369,"3",0.439914281546098,15.58523019899,"3","1",13.1650584852923
"trend[1128]",1326.86701003862,8.70058722788846,"3",0.860966810271635,14.5550479865023,"3","1",12.3520882011739
"trend[1129]",1326.868398923,5.81240993266171,"3",1.27961212383102,13.5265733095861,"3","1",11.5984323903172
"trend[1130]",1326.86978780734,20.0865326148208,"3",1.69480867857756,12.5550159701749,"3","1",10.8972132756063
"trend[1131]",1326.87117669171,19.4785386228045,"3",2.1053134975428,11.5613769964541,"3","1",10.24295463515
"trend[1132]",1326.87256557609,3.77670233374957,"3",2.51001654827293,10.5549195711902,"1","1",9.63120623672503
"trend[1133]",1326.87395446046,8.48026179572972,"3",2.90775443236435,9.78092629602188,"1","1",9.05827644088518
"trend[1134]",1326.87534334483,-2.94002984321627,"3",3.29739200013044,9.35429333294417,"1","1",8.52104144256919
"trend[1135]",1326.87673222921,21.9691895927133,"3",3.67786948551121,9.19381160746479,"1","1",8.01680873005876
"trend[1136]",1326.87812111358,11.6511173475448,"3",4.04812666157191,9.08031504956555,"1","1",7.54321890677025
"trend[1137]",1326.87950999795,3.36903698064441,"3",4.40709473410323,9.0208479769691,"1","1",7.09817467267987
"trend[1138]",1326.88089888233,5.90865925248335,"3",4.75392208975759,9.06361093121444,"1","1",6.67978913201882
"trend[1139]",1326.8822877667,13.3207599234021,"3",5.08767948149013,9.14181321173318,"1","1",6.28634781074759
